,강우변화,풍속(m/s),강수량(mm),최저운고(100m ),1일후강수량,cos_week_of_year,sin_month,당일유입량
2005-07-22,0.24357537581636196,0.10471204188481677,0.006898781722688738,0.08677373114665682,0.005283457221766496,0.03249187865729258,0.5000000000000001,0.005323354240236125
2005-07-23,0.23623294817791854,0.18474195961106954,0.005283457221766496,0.08675832963952664,0.003668132720844256,0.03249187865729258,0.5000000000000001,0.005481473673114426
2005-07-24,0.2357305715500251,0.20942408376963353,0.003668132720844256,0.08674292813239647,0.0020528082199220135,0.03249187865729258,0.5000000000000001,0.005481473673114426
2005-07-25,0.23074544962708182,0.22662677636499626,0.0020528082199220135,0.08672752662526631,0.0004795494612112902,0.057271987173394934,0.5000000000000001,0.0026880303589311124
2005-07-26,0.22871179039301304,0.20942408376963353,0.0004795494612112902,0.08671212511813614,0.0,0.057271987173394934,0.5000000000000001,0.004532757075844621
2005-07-27,0.2262836366915279,0.2864622288706058,0.0,0.08669672361100596,0.01677020922832466,0.057271987173394934,0.5000000000000001,0.0037948663890792177
2005-07-28,0.22970527237830254,0.4173522812266268,0.01677020922832466,0.0866813221038758,0.09352616685027212,0.057271987173394934,0.5000000000000001,0.01702419227323038
2005-07-29,0.2489710940217181,0.21839940164547492,0.09352616685027212,0.08666592059674566,0.00645008047243256,0.057271987173394934,0.5000000000000001,0.06598850998787752
2005-07-30,0.24600997024384574,0.1787584143605086,0.00645008047243256,0.08665051908961548,0.0,0.057271987173394934,0.5000000000000001,0.018025615348126287
2005-07-31,0.24353673146037014,0.1637995512341062,0.0,0.0866351175824853,0.01322266496848675,0.057271987173394934,0.5000000000000001,0.011648131555368157
2005-08-01,0.24011348559209586,0.30740463724756917,0.01322266496848675,0.08661971607535514,0.11352141631481308,0.08850806705317177,0.2500000000000001,0.014336161914299267
2005-08-02,0.24184443070422892,0.1907255048616305,0.11352141631481308,0.08660431456822498,0.03225040236216281,0.08850806705317177,0.2500000000000001,0.030727876456016438
2005-08-03,0.2603502466798057,0.45624532535527296,0.03225040236216281,0.08658891306109481,0.0012900160944865101,0.08850806705317177,0.2500000000000001,0.21588573235650665
2005-08-04,0.25744869961742095,0.25504861630516085,0.0012900160944865101,0.08657351155396464,0.0,0.08850806705317177,0.2500000000000001,0.054393084910135454
2005-08-05,0.25663716814159293,0.13089005235602094,0.0,0.08655811004683447,0.0,0.08850806705317177,0.2500000000000001,0.02772360723132873
