시간,전일유입량,저수위(현재),저수량(현재),저수위(예년),저수량(예년),현재저수율,당일유입량,홍수기,저수위변화,저수량변화,강우변화,sin_day_of_week,cos_day_of_week,sin_month,cos_month,sin_week_of_year,cos_week_of_year
2011-02-02,1.6000000000000003,165.82083333333335,489.0416666666667,155.09,311.2,61.8875,1.6000000000000003,0.0,10.73083333333335,177.8416666666667,-28.3,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.5680647467311558,0.8229838658936564
2011-02-03,1.6000000000000003,165.69166666666666,486.64166666666665,155.02,310.2,61.60416666666666,2.0,0.0,10.671666666666653,176.44166666666666,-28.899999999999995,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.5680647467311558,0.8229838658936564
2011-02-04,2.0,165.5625,484.225,154.95,309.2,61.30416666666667,4.1,0.0,10.612500000000011,175.02500000000003,-28.899999999999995,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.5680647467311558,0.8229838658936564
2011-02-05,4.1,165.44291666666666,481.9791666666667,154.87,308.1,61.0,1.9,0.0,10.572916666666657,173.87916666666666,-29.0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.5680647467311558,0.8229838658936564
2011-02-06,1.9,165.31375,479.5958333333333,154.8,307.1,60.69583333333333,2.1,0.0,10.513749999999987,172.49583333333328,-29.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.5680647467311558,0.8229838658936564
2011-02-07,2.1,165.18833333333333,477.2583333333334,154.72,305.9,60.40416666666667,2.0,0.0,10.468333333333334,171.3583333333334,-29.2,0.0,1.0,0.49999999999999994,0.8660254037844387,0.6631226582407952,0.7485107481711011
2011-02-08,2.0,165.06041666666667,474.87916666666666,154.65,305.0,60.09583333333333,2.3,0.0,10.410416666666663,169.87916666666666,-31.399999999999995,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.6631226582407952,0.7485107481711011
2011-02-09,2.3,164.9225,472.3375,154.58,304.0,59.775,2.3,0.0,10.342500000000001,168.33749999999998,-32.3,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.6631226582407952,0.7485107481711011
2011-02-10,2.3,164.79666666666665,470.01666666666665,154.52,303.1,59.49583333333334,1.3,0.0,10.276666666666642,166.91666666666663,-34.2,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.6631226582407952,0.7485107481711011
2011-02-11,1.3,164.64666666666668,467.2708333333333,154.46,302.3,59.15416666666667,3.2000000000000006,0.0,10.186666666666667,164.9708333333333,-35.6,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.6631226582407952,0.7485107481711011
2011-02-12,3.2000000000000006,164.49666666666667,464.5291666666667,154.39,301.3,58.770833333333336,3.1,0.0,10.106666666666683,163.22916666666669,-36.3,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.6631226582407952,0.7485107481711011
2011-02-13,3.1,164.35,461.8458333333333,154.32,300.3,58.475,1.2,0.0,10.030000000000001,161.5458333333333,-38.1,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.6631226582407952,0.7485107481711011
2011-02-14,1.2,164.20916666666668,459.3083333333333,154.26,299.5,58.15416666666667,1.3,0.0,9.949166666666684,159.80833333333328,-38.7,0.0,1.0,0.49999999999999994,0.8660254037844387,0.7485107481711011,0.6631226582407953
2011-02-15,1.3,164.06,456.6041666666667,154.2,298.7,57.78333333333333,1.3999999999999997,0.0,9.860000000000014,157.9041666666667,-40.4,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.7485107481711011,0.6631226582407953
2011-02-16,1.3999999999999997,163.90958333333333,453.9041666666667,154.15,298.0,57.47083333333333,3.0,0.0,9.759583333333325,155.9041666666667,-42.779166666666654,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.7485107481711011,0.6631226582407953
2011-02-17,3.0,163.78125,451.60833333333335,154.09,297.1,57.16666666666666,3.8,0.0,9.691249999999997,154.50833333333333,-39.05000000000001,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7485107481711011,0.6631226582407953
2011-02-18,3.8,163.63125,448.9166666666667,154.02,296.2,56.84166666666667,3.8,0.0,9.611249999999984,152.7166666666667,-39.5,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.7485107481711011,0.6631226582407953
2011-02-19,3.8,163.48791666666668,446.3666666666666,153.97,295.5,56.4875,1.8,0.0,9.517916666666679,150.86666666666662,-40.5,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.7485107481711011,0.6631226582407953
2011-02-20,1.8,163.35875,444.0541666666666,153.92,294.8,56.208333333333336,3.1,0.0,9.438749999999999,149.2541666666666,-42.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.7485107481711011,0.6631226582407953
2011-02-21,3.1,163.20458333333332,441.3250000000001,153.87,294.1,55.8625,2.1,0.0,9.334583333333313,147.22500000000008,-43.60000000000001,0.0,1.0,0.49999999999999994,0.8660254037844387,0.8229838658936564,0.5680647467311558
2011-02-22,2.1,163.04791666666668,438.5416666666667,153.84,293.7,55.53333333333333,2.2,0.0,9.207916666666677,144.8416666666667,-47.69999999999999,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.8229838658936564,0.5680647467311558
2011-02-23,2.2,162.9045833333333,436.0333333333333,153.82,293.4,55.19583333333333,0.0,0.0,9.084583333333313,142.63333333333333,-50.10000000000001,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.8229838658936564,0.5680647467311558
2011-02-24,0.0,162.74,433.1333333333334,153.79,293.0,54.833333333333336,2.1,0.0,8.950000000000017,140.13333333333338,-51.8,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.8229838658936564,0.5680647467311558
2011-02-25,2.1,162.60125000000002,430.7166666666667,153.78,292.9,54.50833333333333,4.5,0.0,8.82125000000002,137.81666666666672,-56.8,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.8229838658936564,0.5680647467311558
2011-02-26,4.5,162.45291666666665,428.1166666666666,153.75,292.5,54.18333333333334,2.7999999999999994,0.0,8.702916666666653,135.61666666666662,-58.60000000000001,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.8229838658936564,0.5680647467311558
2011-02-27,2.7999999999999994,162.32833333333335,425.94166666666666,153.71,291.9,53.92916666666667,16.7,0.0,8.61833333333334,134.04166666666669,-41.858333333333334,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.8229838658936564,0.5680647467311558
2011-02-28,16.7,162.35666666666663,426.45,153.7,291.8,53.9875,46.79999999999999,0.0,8.656666666666638,134.64999999999998,-8.362499999999997,0.0,1.0,0.49999999999999994,0.8660254037844387,0.8854560256532098,0.4647231720437686
2011-03-01,46.79999999999999,162.32666666666668,425.9375,153.65,291.1,53.90416666666667,19.3,0.0,8.676666666666677,134.83749999999998,-8.708333333333343,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.8854560256532098,0.4647231720437686
2011-03-02,19.3,162.235,424.3458333333333,153.61,290.6,53.7125,13.1,0.0,8.625,133.74583333333328,-9.000000000000007,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0.8854560256532098,0.4647231720437686
2011-03-03,13.1,162.11958333333334,422.375,153.56,289.9,53.47916666666666,9.2,0.0,8.559583333333336,132.47500000000002,-10.400000000000013,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.8854560256532098,0.4647231720437686
2011-03-04,9.2,161.97625,419.8875,153.53,289.5,53.15833333333333,7.400000000000001,0.0,8.446249999999992,130.3875,-13.300000000000004,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.8854560256532098,0.4647231720437686
2011-03-05,7.400000000000001,161.8141666666667,417.0916666666667,153.49,288.9,52.79583333333333,7.400000000000001,0.0,8.324166666666684,128.19166666666672,-14.800000000000004,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.8854560256532098,0.4647231720437686
2011-03-06,7.400000000000001,161.695,415.0833333333333,153.46,288.5,52.55416666666667,5.5,0.0,8.234999999999985,126.58333333333331,-17.100000000000016,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0.8854560256532098,0.4647231720437686
2011-03-07,5.5,161.54833333333332,412.54583333333335,153.43,288.1,52.21666666666667,5.5,0.0,8.118333333333311,124.44583333333333,-19.600000000000016,0.0,1.0,0.8660254037844386,0.5000000000000001,0.9350162426854148,0.35460488704253557
2011-03-08,5.5,161.38583333333332,409.8041666666666,153.39,287.6,51.875,3.7000000000000006,0.0,7.995833333333337,122.2041666666666,-20.500000000000007,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.9350162426854148,0.35460488704253557
2011-03-09,3.7000000000000006,161.23791666666668,407.3083333333333,153.35,287.0,51.55416666666667,3.8,0.0,7.887916666666683,120.30833333333328,-21.900000000000013,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0.9350162426854148,0.35460488704253557
2011-03-10,3.8,161.07833333333335,404.625,153.31,286.5,51.208333333333336,4.0,0.0,7.768333333333345,118.125,-23.20000000000001,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.9350162426854148,0.35460488704253557
2011-03-11,4.0,160.91875000000002,401.92916666666673,153.27,286.0,50.87916666666666,4.2,0.0,7.648750000000007,115.92916666666673,-24.70000000000001,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.9350162426854148,0.35460488704253557
2011-03-12,4.2,160.73416666666665,398.8416666666667,153.23,285.4,50.49166666666667,3.7000000000000006,0.0,7.504166666666663,113.44166666666672,-25.70000000000001,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.9350162426854148,0.35460488704253557
2011-03-13,3.7000000000000006,160.57375,396.1666666666667,153.18,284.8,50.1375,4.5,0.0,7.393749999999983,111.36666666666667,-26.000000000000007,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0.9350162426854148,0.35460488704253557
2011-03-14,4.5,160.4325,393.81666666666666,153.14,284.2,49.85,2.7000000000000006,0.0,7.292500000000018,109.61666666666667,-29.000000000000007,0.0,1.0,0.8660254037844386,0.5000000000000001,0.970941817426052,0.23931566428755804
2011-03-15,2.7000000000000006,160.26333333333332,391.00416666666666,153.1,283.7,49.50416666666666,2.7000000000000006,0.0,7.163333333333327,107.30416666666667,-33.29999999999999,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.970941817426052,0.23931566428755804
2011-03-16,2.7000000000000006,160.07833333333335,387.94166666666666,153.07,283.3,49.1125,2.3,0.0,7.008333333333354,104.64166666666665,-36.40000000000001,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0.970941817426052,0.23931566428755804
2011-03-17,2.3,159.9075,385.1125,153.05,283.0,48.74166666666667,3.2000000000000006,0.0,6.8574999999999875,102.11250000000001,-38.00000000000001,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.970941817426052,0.23931566428755804
2011-03-18,3.2000000000000006,159.75375,382.60833333333335,153.01,282.5,48.4125,3.2000000000000006,0.0,6.743750000000006,100.10833333333335,-39.90000000000001,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.970941817426052,0.23931566428755804
2011-03-19,3.2000000000000006,159.58583333333334,379.89166666666665,152.98,282.1,48.1,3.2999999999999994,0.0,6.605833333333351,97.79166666666663,-41.00000000000001,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.970941817426052,0.23931566428755804
