,증기압(hPa),강수량(mm),1일후강수량,풍속(m/s),cos_week_of_year,저수량(현재),시정(10m),sin_month,최저운고(100m ),당일유입량
2003-05-28,0.462791313559322,0.0,0.00645008047243256,0.1518324607329843,0.05727198717339521,0.20907801031406043,0.30326224969119076,0.9330127018922194,0.09887931575096803,0.009276340062193644
2003-05-29,0.5496557203389829,0.00645008047243256,0.15157689110216518,0.10695587135377711,0.05727198717339521,0.20272040164806676,0.30313538509883126,0.9330127018922194,0.09886391424383786,0.009697991883202445
2003-05-30,0.534030720338983,0.15157689110216518,0.0012900160944865101,0.34704562453253546,0.05727198717339521,0.2307225299462468,0.3030085205064718,0.9330127018922194,0.09884851273670768,0.2630580298318664
2003-05-31,0.46504237288135586,0.0012900160944865101,0.005160064377946047,0.5445026178010471,0.05727198717339521,0.27108515921307547,0.3028816559141123,0.9330127018922194,0.09883311122957752,0.07927054234965478
2003-06-01,0.45564088983050843,0.005160064377946047,0.015480193133838147,0.22737471952131638,0.05727198717339521,0.275655543125324,0.3027547913217528,0.75,0.09881770972244736,0.034628155800347865
2003-06-02,0.41962394067796605,0.015480193133838147,0.015480193133838147,0.1368735976065819,0.03249187865729258,0.2761398673906518,0.3026279267293933,0.75,0.09880230821531719,0.02298002424497971
2003-06-03,0.38294491525423724,0.015480193133838147,0.015480193133838147,0.11069558713537772,0.03249187865729258,0.2725790608202134,0.30250106213703387,0.75,0.09878690670818703,0.01491593316818637
2003-06-04,0.41445974576271183,0.015480193133838147,0.015480193133838147,0.10994764397905758,0.03249187865729258,0.26784496166334676,0.3023741975446744,0.75,0.09877150520105685,0.013545564749907762
2003-06-05,0.4171080508474576,0.015480193133838147,0.015480193133838147,0.16828721017202694,0.03249187865729258,0.26287893257660505,0.30224733295231493,0.75,0.09875610369392668,0.011911663943498659
2003-06-06,0.4567002118644067,0.015480193133838147,0.015480193133838147,0.2356020942408377,0.03249187865729258,0.25701246964446506,0.3021204683599554,0.75,0.09874070218679652,0.00838032994254994
2003-06-07,0.47523834745762705,0.015480193133838147,0.015480193133838147,0.18100224382946895,0.03249187865729258,0.2514597942645093,0.30199360376759593,0.75,0.09872530067966635,0.009697991883202445
2003-06-08,0.47550317796610164,0.015480193133838147,0.015480193133838147,0.14584891548242335,0.03249187865729258,0.24617997762558325,0.30186673917523643,0.75,0.09870989917253617,0.007695145733410636
2003-06-09,0.4798728813559321,0.015480193133838147,0.015480193133838147,0.28347045624532535,0.014529091286973994,0.24007476329504213,0.301739874582877,0.75,0.09869449766540603,0.005692299583618828
2003-06-10,0.49920550847457623,0.015480193133838147,0.018705233370054426,0.4068810770381451,0.014529091286973994,0.23364893994379116,0.3016130099905175,0.75,0.09867909615827584,0.003425921045696516
2003-06-11,0.5268802966101694,0.018705233370054426,0.05654046150712835,0.2400897531787584,0.014529091286973994,0.22725040246664302,0.30148614539815805,0.75,0.09866369465114568,0.0061139514046276286
2003-06-12,0.5987817796610169,0.05654046150712835,0.011798927693474195,0.07928197456993268,0.014529091286973994,0.22326666484760838,0.3013592808057986,0.75,0.09864829314401552,0.024086860275127818
2003-06-13,0.510593220338983,0.011798927693474195,0.007268139459180105,0.28945400149588635,0.014529091286973994,0.22041529100384727,0.3012324162134391,0.75,0.09863289163688535,0.011331892689611553
