,날짜,위치,남중고도,9시고도,12시고도,15시고도,18시고도,9시방위각,12시방위각,15시방위각,18시방위각
0,20160208,대구,38˚ 57´,17˚ 11´,38˚ 5´,29˚ 9´,-1˚ 1´,124˚ 15´,167˚ 48´,219˚ 25´,252˚ 0´
0,20160209,대구,39˚ 16´,17˚ 24´,38˚ 23´,29˚ 25´,-0˚ 49´,124˚ 1´,167˚ 43´,219˚ 36´,252˚ 15´
0,20160210,대구,39˚ 35´,17˚ 37´,38˚ 42´,29˚ 42´,-0˚ 37´,123˚ 47´,167˚ 38´,219˚ 47´,252˚ 30´
0,20160211,대구,39˚ 54´,17˚ 51´,39˚ 1´,29˚ 58´,-0˚ 26´,123˚ 32´,167˚ 33´,219˚ 59´,252˚ 46´
0,20160212,대구,40˚ 14´,18˚ 5´,39˚ 21´,30˚ 15´,-0˚ 14´,123˚ 18´,167˚ 28´,220˚ 12´,253˚ 1´
0,20160213,대구,40˚ 34´,18˚ 19´,39˚ 40´,30˚ 32´,-0˚ 2´,123˚ 3´,167˚ 24´,220˚ 24´,253˚ 17´
0,20160214,대구,40˚ 54´,18˚ 34´,40˚ 0´,30˚ 48´,0˚ 10´,122˚ 49´,167˚ 19´,220˚ 37´,253˚ 34´
0,20160215,대구,41˚ 15´,18˚ 49´,40˚ 20´,31˚ 5´,0˚ 22´,122˚ 34´,167˚ 15´,220˚ 51´,253˚ 50´
0,20160216,대구,41˚ 35´,19˚ 4´,40˚ 41´,31˚ 22´,0˚ 34´,122˚ 19´,167˚ 11´,221˚ 4´,254˚ 7´
0,20160217,대구,41˚ 56´,19˚ 19´,41˚ 1´,31˚ 39´,0˚ 46´,122˚ 4´,167˚ 7´,221˚ 19´,254˚ 24´
0,20160218,대구,42˚ 17´,19˚ 35´,41˚ 22´,31˚ 56´,0˚ 58´,121˚ 49´,167˚ 3´,221˚ 33´,254˚ 42´
0,20160219,대구,42˚ 38´,19˚ 51´,41˚ 43´,32˚ 13´,1˚ 9´,121˚ 35´,166˚ 59´,221˚ 48´,255˚ 0´
0,20160220,대구,42˚ 59´,20˚ 7´,42˚ 4´,32˚ 30´,1˚ 21´,121˚ 20´,166˚ 56´,222˚ 3´,255˚ 18´
0,20160221,대구,43˚ 21´,20˚ 23´,42˚ 26´,32˚ 47´,1˚ 33´,121˚ 5´,166˚ 52´,222˚ 19´,255˚ 36´
