,전일유입량,저수위(현재),저수량(현재),저수위(예년),저수량(예년),현재저수율,당일유입량,홍수기,저수위변화,저수량변화,강우변화,sin_day_of_week,cos_day_of_week,sin_month,cos_month,sin_week_of_year,cos_week_of_year,기온(°C),강수량(mm),풍속(m/s),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),적설(cm),최저운고(100m ),시정(10m),지면온도(°C),1일후강수량,2일후강수량
2013-05-12,8.6,157.65,349.2625,151.17,258.9,44.21666666666667,5.1,0.0,6.480000000000018,90.3625,-23.5,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,0.7485107481711013,-0.6631226582407951,19.67083333333333,0.4509708737864077,2.35,60.625,13.016666666666666,10.770833333333334,1002.7666666666668,1006.6041666666666,0.5,0.5788250337007375,11.993491719717357,242.938537175224,24.391666666666666,0.4276699029126213,0.404368932038835
2013-05-13,5.1,157.55125,347.75416666666666,151.12,258.3,44.02916666666667,3.5,0.0,6.431250000000006,89.45416666666665,-26.69999999999999,0.0,1.0,0.8660254037844387,-0.4999999999999998,0.6631226582407952,-0.7485107481711012,21.35,0.4276699029126213,1.4458333333333335,52.91666666666666,11.2625,8.279166666666667,1007.0208333333334,1010.8541666666666,0.4916666666666667,0.5787774561890413,11.996116908402792,242.7017867655248,26.83333333333333,0.404368932038835,0.3810679611650485
2013-05-14,3.5,157.48791666666668,346.7833333333333,151.07,257.7,43.89166666666666,5.3,0.0,6.4179166666666845,89.08333333333331,-30.5,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.6631226582407952,-0.7485107481711012,19.83333333333333,0.404368932038835,2.1875,52.875,10.925,8.133333333333333,1008.3208333333332,1012.1708333333332,0.525,0.5787298786773452,11.998742097088227,242.46503635582567,26.04583333333333,0.3810679611650485,0.3577669902912621
2013-05-15,5.3,157.41666666666666,345.675,151.03,257.2,43.75416666666666,3.7000000000000006,0.0,6.386666666666656,88.47500000000002,-32.0,0.9749279121818236,-0.2225209339563143,0.8660254037844387,-0.4999999999999998,0.6631226582407952,-0.7485107481711012,21.179166666666667,0.3810679611650485,1.6083333333333334,54.5,12.2125,9.4875,1008.2666666666668,1012.0958333333332,0.4166666666666667,0.578682301165649,12.001367285773666,242.22828594612653,27.891666666666666,0.3577669902912621,0.3344660194174757
2013-05-16,3.7000000000000006,157.34833333333333,344.6166666666666,150.97,256.5,43.645833333333336,3.6,0.0,6.37833333333333,88.11666666666662,-35.099999999999994,0.4338837391175582,-0.900968867902419,0.8660254037844387,-0.4999999999999998,0.6631226582407952,-0.7485107481711012,17.158333333333335,0.3577669902912621,3.125,57.125,10.895833333333334,8.195833333333333,1014.4791666666666,1018.3958333333334,0.4125,0.5786347236539529,12.003992474459102,241.9915355364274,27.0125,0.3344660194174757,0.3111650485436893
2013-05-17,3.6,157.29125000000002,343.74583333333334,150.9,255.6,43.5375,5.400000000000001,0.0,6.391250000000014,88.14583333333334,-38.5,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0.6631226582407952,-0.7485107481711012,16.295833333333334,0.3344660194174757,1.6625,57.333333333333336,9.995833333333334,6.958333333333333,1013.9833333333332,1017.9125,0.3833333333333333,0.5785871461422567,12.00661766314454,241.75478512672828,24.84166666666667,0.3111650485436893,0.8227777777777777
2013-05-18,5.400000000000001,157.2,342.375,150.83,254.80000000000004,43.35416666666666,0.1,0.0,6.369999999999976,87.57499999999996,-43.320833333333326,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,0.6631226582407952,-0.7485107481711012,18.05,0.3111650485436893,1.3583333333333334,60.29166666666666,11.8125,9.370833333333334,1006.5458333333332,1010.4208333333332,0.2166666666666666,0.5785395686305607,12.009242851829976,241.5180347170292,23.8125,0.8227777777777777,0.013076923076923
2013-05-19,0.1,157.1825,342.1083333333333,150.76,253.9,43.29999999999999,17.8,0.0,6.422500000000014,88.20833333333329,-21.92083333333335,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,0.6631226582407952,-0.7485107481711012,17.670833333333334,0.8227777777777777,1.3,85.70833333333333,17.212500000000002,15.1375,995.1166666666668,998.9666666666668,0.0791666666666666,0.5784919911188645,12.011868040515411,241.28128430733005,21.33333333333333,0.013076923076923,0.0253846153846153
2013-05-20,17.8,157.15291666666667,341.6791666666666,150.68,253.0,43.25833333333333,7.2,0.0,6.472916666666663,88.67916666666662,-20.69999999999999,0.0,1.0,0.8660254037844387,-0.4999999999999998,0.5680647467311558,-0.8229838658936564,19.48333333333333,0.013076923076923,1.9375,63.16666666666666,13.270833333333334,10.925,998.7041666666668,1002.5208333333334,0.48,0.5784444136071684,12.01449322920085,241.04453389763088,23.445833333333336,0.0253846153846153,0.0376923076923076
2013-05-21,7.2,157.09125,340.70416666666665,150.6,252.0,43.12916666666667,7.099999999999999,0.0,6.491250000000008,88.70416666666665,-24.5,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.5680647467311558,-0.8229838658936564,18.4875,0.0253846153846153,1.3083333333333331,47.625,8.091666666666667,3.325,1003.5541666666668,1007.4083333333332,0.5783333333333334,0.5783968360954722,12.017118417886286,240.8077834879317,25.516666666666666,0.0376923076923076,0.0499999999999999
2013-05-22,7.099999999999999,156.96583333333334,338.8,150.51,250.9,42.89166666666667,2.0,0.0,6.455833333333345,87.9,-27.80000000000001,0.9749279121818236,-0.2225209339563143,0.8660254037844387,-0.4999999999999998,0.5680647467311558,-0.8229838658936564,20.4125,0.0376923076923076,1.15,55.0,12.141666666666666,9.733333333333333,1006.3666666666668,1010.2083333333334,0.4458333333333333,0.5783492585837761,12.019743606571724,240.57103307823263,27.3875,0.0499999999999999,0.0623076923076923
2013-05-23,2.0,156.80708333333334,336.4208333333333,150.41,249.7,42.59166666666667,2.2,0.0,6.397083333333342,86.7208333333333,-29.19999999999999,0.4338837391175582,-0.900968867902419,0.8660254037844387,-0.4999999999999998,0.5680647467311558,-0.8229838658936564,22.620833333333334,0.0499999999999999,1.3041666666666667,57.91666666666666,14.570833333333333,12.558333333333332,1009.1833333333332,1012.9958333333334,0.4458333333333333,0.5783016810720799,12.02236879525716,240.33428266853352,30.054166666666664,0.0623076923076923,0.0746153846153846
2013-05-24,2.2,156.64208333333332,333.9458333333333,150.3,248.4,42.28333333333333,2.2,0.0,6.342083333333306,85.54583333333332,-32.19999999999999,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0.5680647467311558,-0.8229838658936564,23.075,0.0623076923076923,0.9416666666666668,54.625,13.495833333333332,11.1875,1009.1458333333334,1012.9625,0.4958333333333333,0.5782541035603838,12.024993983942595,240.0975322588344,31.541666666666668,0.0746153846153846,0.0869230769230769
2013-05-25,2.2,156.47375,331.425,150.2,247.2,41.9625,0.6999999999999998,0.0,6.273750000000007,84.22500000000002,-35.30000000000001,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,0.5680647467311558,-0.8229838658936564,22.7,0.0746153846153846,1.2833333333333334,61.208333333333336,15.720833333333331,13.720833333333331,1010.4583333333334,1014.2791666666668,0.3958333333333333,0.5782065260486876,12.027619172628034,239.86078184913524,30.5625,0.0869230769230769,1.656388888888889
2013-05-26,0.6999999999999998,156.28583333333333,328.6125,150.11,246.2,41.5875,0.8000000000000002,0.0,6.175833333333316,82.41250000000002,-38.5,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,0.5680647467311558,-0.8229838658936564,21.5125,0.0869230769230769,1.4291666666666665,63.958333333333336,15.683333333333332,13.670833333333334,1012.975,1016.825,0.175,0.5781589485369915,12.03024436131347,239.6240314394361,28.495833333333334,1.656388888888889,2.293452380952381
2013-05-27,0.8000000000000002,156.15833333333333,326.72083333333336,150.0,244.9,41.34583333333333,14.699999999999998,0.0,6.158333333333331,81.82083333333335,-28.737499999999955,0.0,1.0,0.8660254037844387,-0.4999999999999998,0.464723172043769,-0.8854560256532096,19.0,1.656388888888889,1.0333333333333334,81.66666666666667,17.766666666666666,15.629166666666668,1008.7125,1012.5916666666668,0.0,0.5781113710252953,12.032869549998908,239.38728102973693,21.441666666666663,2.293452380952381,0.0244047619047619
2013-05-28,14.699999999999998,156.30541666666667,328.925,149.88,243.4,41.63333333333333,82.3,0.0,6.425416666666678,85.525,22.48333333333329,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.464723172043769,-0.8854560256532096,19.620833333333334,2.293452380952381,1.2583333333333333,87.41666666666667,19.904166666666665,17.379166666666666,1002.925,1006.7625,0.0208333333333333,0.5780637935135992,12.035494738684344,239.15053062003787,21.4,0.0244047619047619,0.0529761904761904
2013-05-29,82.3,156.4595833333333,331.21250000000003,149.77,242.2,41.93333333333333,33.4,0.0,6.689583333333303,89.01250000000005,27.59166666666664,0.9749279121818236,-0.2225209339563143,0.8660254037844387,-0.4999999999999998,0.464723172043769,-0.8854560256532096,21.4125,0.0244047619047619,1.8041666666666665,67.375,16.900000000000002,14.770833333333334,1004.0875,1007.8708333333334,0.1333333333333333,0.578016216001903,12.03811992736978,238.9137802103388,23.891666666666666,0.0529761904761904,0.081547619047619
2013-05-30,33.4,156.43208333333334,330.80833333333334,149.8,242.5,41.87083333333333,19.6,0.0,6.632083333333327,88.30833333333334,22.0,0.4338837391175582,-0.900968867902419,0.8660254037844387,-0.4999999999999998,0.464723172043769,-0.8854560256532096,20.745833333333334,0.0529761904761904,0.9583333333333334,54.208333333333336,12.216666666666669,9.675,1008.1708333333332,1012.0,0.4375,0.577968638490207,12.040745116055218,238.6770298006396,25.691666666666663,0.081547619047619,0.1101190476190476
2013-05-31,19.6,156.34625,329.5125,149.72,241.6,41.72083333333333,14.300000000000002,0.0,6.626249999999999,87.9125,21.399999999999977,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0.464723172043769,-0.8854560256532096,18.183333333333334,0.081547619047619,0.8708333333333335,68.95833333333333,13.770833333333334,11.691666666666668,1006.6458333333334,1010.5166666666668,0.0999999999999999,0.5779210609785108,12.043370304740654,238.44027939094045,22.125,0.1101190476190476,0.1386904761904762
2013-06-01,14.300000000000002,156.19416666666666,327.2625,149.6,240.2,41.42083333333333,11.0,0.0,6.594166666666666,87.0625,18.299999999999955,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,-0.8660254037844387,0.464723172043769,-0.8854560256532096,19.566666666666663,0.1101190476190476,0.7916666666666666,69.20833333333333,15.183333333333332,13.166666666666666,1003.35,1007.1833333333334,0.0166666666666666,0.5778734834668147,12.04599549342609,238.20352898124133,23.691666666666663,0.1386904761904762,0.1672619047619047
2013-06-02,11.0,156.01916666666668,324.68333333333334,149.54,239.5,41.09583333333334,7.7,0.0,6.479166666666686,85.18333333333334,12.199999999999989,-0.7818314824680299,0.6234898018587334,0.4999999999999999,-0.8660254037844387,0.464723172043769,-0.8854560256532096,20.629166666666663,0.1386904761904762,1.2833333333333334,63.91666666666666,14.254166666666668,12.1375,1003.5375,1007.3541666666666,0.4166666666666667,0.5778259059551185,12.048620682111528,237.96677857154225,27.22083333333333,0.1672619047619047,0.1958333333333333
2013-06-03,7.7,155.81708333333333,321.7291666666667,149.45,238.4,40.72083333333333,4.5,0.0,6.3670833333333405,83.32916666666668,10.399999999999975,0.0,1.0,0.4999999999999999,-0.8660254037844387,0.3546048870425358,-0.9350162426854148,20.825,0.1672619047619047,1.1291666666666669,59.583333333333336,13.416666666666666,11.3,1007.9791666666666,1011.8083333333334,0.5083333333333333,0.5777783284434224,12.051245870796963,237.73002816184308,28.83333333333333,0.1958333333333333,0.2244047619047619
2013-06-04,4.5,155.63583333333332,319.075,149.34,237.2,40.38333333333333,6.400000000000001,0.0,6.29583333333332,81.875,9.699999999999989,0.7818314824680298,0.6234898018587336,0.4999999999999999,-0.8660254037844387,0.3546048870425358,-0.9350162426854148,22.04583333333333,0.1958333333333333,1.0708333333333333,56.083333333333336,13.5625,11.408333333333331,1012.1583333333332,1016.0,0.4958333333333333,0.5777307509317263,12.053871059482402,237.493277752144,30.09583333333333,0.2244047619047619,0.2529761904761905
